,asprin-1.2.0-decision-100-rnd-n1,asprin-1.2.0-decision-100-dissimilarityPositive-n1,asprin-1.2.0-decision-100-n1,asprin-1.2.0-decision-100-dissimilarityAll-n1,asprin-1.2.0-decision-100-vguide_pguide-n1,asprin-1.2.0-decision-100-dissimilarityAllE-n1,asprin-1.2.0-decision-100-dynamic-n1,asprin-1.2.0-decision-100-nosave-n1,asprin-1.2.0-decision-100-pguide-n1,asprin-1.2.0-decision-100-vguide_pguide_rdm-n1,asprin-1.2.0-decision-100-dissimilarityPositiveE-n1
2,187807.0,244084.33333333334,280320.25,396267.5,408846.75,224660.33333333334,381272.25,217659.0,381272.25,408846.75,224660.33333333334
3,188747.75,405109.66666666669,282723.75,400644.0,416703.75,259166.0,381340.0,220512.5,381340.0,416703.75,259166.0
4,189763.0,423086.66666666669,283241.25,401892.0,419064.75,293166.66666666669,381439.5,221546.5,381439.5,419064.75,293166.66666666669
5,190047.5,443312.0,283422.75,402282.0,420826.0,313889.66666666669,381527.75,222023.5,381527.75,420238.75,313889.66666666669
6,190319.0,456985.33333333331,283640.5,403486.5,421124.75,320576.66666666669,381576.25,222217.75,381576.25,421216.0,320576.66666666669
7,190536.75,459744.66666666669,283886.5,403723.75,421485.5,321637.0,381647.5,222514.25,381647.5,421546.75,321637.0
8,190766.75,460848.66666666669,284009.75,404014.75,421836.5,326359.33333333331,381728.0,222632.5,381728.0,421929.75,326359.33333333331
9,190866.0,461964.0,284504.5,404107.75,421950.75,328372.0,381795.75,222821.0,381795.75,422042.5,328372.0
10,191045.5,463198.0,284573.0,404478.25,422002.0,329969.66666666669,381896.25,222933.75,381896.25,422075.25,329969.66666666669
11,191127.75,464625.66666666669,284717.75,404542.0,422167.75,330353.0,381946.5,223089.0,381946.5,422242.0,330353.0
12,191187.5,465566.66666666669,284839.25,404768.25,422252.25,331184.0,382073.5,223209.75,382073.5,422309.25,331184.0
13,191231.5,468331.33333333331,284896.0,404996.75,422350.5,331873.66666666669,382127.75,223275.25,382127.75,422433.75,331873.66666666669
14,191248.25,469234.33333333331,284920.25,405228.5,422389.0,331999.0,382146.75,223384.25,382146.75,422516.0,331999.0
15,191322.0,471329.0,285077.5,405317.5,422418.5,332196.0,382210.25,223530.5,382210.25,422529.0,332196.0
16,191397.0,472574.66666666669,285113.75,405384.75,422461.25,332342.66666666669,382288.0,223572.0,382288.0,422572.75,332342.66666666669
17,191438.25,473608.66666666669,285168.75,405418.5,422510.5,332469.0,382339.5,223630.75,382339.5,422622.5,332469.0
18,191473.5,475077.33333333331,285383.25,405434.5,422535.0,332720.66666666669,382378.75,223795.5,382378.75,422647.25,332720.66666666669
19,191542.0,475957.66666666669,285408.25,405463.25,422597.5,332824.0,382437.25,223821.75,382437.25,422710.25,332824.0
20,191664.5,476285.33333333331,285512.0,405569.5,422602.0,332956.0,382494.5,223880.75,382494.5,422715.75,332956.0
21,191740.75,477784.0,285699.75,405594.25,422605.75,333047.33333333331,382536.0,223919.5,382536.0,422719.25,333047.33333333331
22,191804.75,478737.0,285735.5,405608.25,422615.75,333147.33333333331,382594.5,223955.0,382594.5,422728.75,333147.33333333331
23,191844.25,479153.66666666669,285804.5,405626.75,422618.25,333197.66666666669,382615.0,224019.0,382615.0,422731.25,333197.66666666669
24,191907.5,479299.66666666669,285929.0,405638.25,422624.0,333252.33333333331,382638.75,224074.0,382638.75,422737.5,333252.33333333331
25,191941.75,479708.66666666669,285966.25,405667.0,422627.25,333335.33333333331,382676.75,224120.75,382676.75,422741.0,333335.33333333331
26,191981.0,480993.33333333331,286157.75,405697.25,422630.5,333548.33333333331,382815.25,224257.75,382815.25,422744.5,333548.33333333331
27,192007.0,481402.33333333331,286292.0,405862.5,422634.0,333660.0,382840.5,224290.75,382840.5,422747.5,333660.0
28,192031.25,481599.0,286542.25,405873.25,422637.25,333707.66666666669,382875.5,224337.5,382875.5,422752.0,333707.66666666669
29,192053.25,481694.0,286821.0,405915.25,422641.0,333736.0,382943.25,224346.75,382943.25,422754.5,333736.0
30,192079.25,481732.33333333331,286928.75,405957.75,422644.5,333828.0,383055.5,224364.25,383055.5,422758.25,333828.0
31,192103.0,482059.0,287146.5,406001.25,422650.5,333890.0,383150.75,224460.25,383150.75,422764.0,333890.0
32,192144.0,482112.66666666669,287171.5,406013.0,422653.75,334012.33333333331,383204.75,224476.0,383204.75,422767.5,334012.33333333331
33,192165.5,482401.0,287283.0,406023.25,422657.0,334098.66666666669,383240.0,224500.0,383240.0,422770.75,334098.66666666669
34,192180.5,482678.66666666669,287409.0,406032.0,422660.5,334122.33333333331,383324.75,224617.75,383324.75,422774.0,334122.33333333331
35,192202.25,483267.33333333331,287443.0,406044.75,422665.5,334146.0,383557.5,224644.5,383557.5,422777.75,334146.0
36,192222.0,483421.33333333331,287476.0,406069.5,422668.5,334165.33333333331,383591.5,224678.25,383591.5,422780.5,334165.33333333331
37,192236.25,483489.0,287530.5,406090.75,422674.0,334184.66666666669,383702.5,224731.75,383702.5,422785.75,334184.66666666669
38,192255.0,483632.33333333331,287776.0,406101.0,422677.75,334205.33333333331,383759.0,224803.25,383759.0,422788.75,334205.33333333331
39,192273.75,483835.33333333331,287818.25,406137.5,422681.5,334221.66666666669,383777.0,224827.25,383777.0,422792.75,334221.66666666669
40,192297.75,483975.66666666669,287874.75,406220.25,422687.5,334235.66666666669,383802.25,224848.75,383802.25,422800.25,334235.66666666669
41,192344.25,484779.0,287935.75,406241.25,422692.0,334267.66666666669,383860.5,224910.5,383860.5,422805.0,334267.66666666669
42,192378.0,484859.0,287954.5,406278.25,422697.25,334330.66666666669,383907.5,224973.5,383907.5,422809.75,334330.66666666669
43,192396.0,485438.66666666669,287984.75,406295.5,422701.0,334359.66666666669,383931.0,224984.5,383931.0,422813.75,334359.66666666669
44,192404.75,485600.66666666669,288064.25,406314.75,422704.25,334401.0,384017.75,225000.25,384017.75,422816.75,334401.0
45,192426.25,486102.0,288083.75,406326.25,422708.75,334486.0,384464.5,225024.25,384464.5,422820.75,334486.0
46,192440.5,486170.66666666669,288113.0,406334.0,422711.75,334586.33333333331,384555.5,225041.75,384555.5,422823.5,334586.33333333331
47,192458.75,486241.0,288189.0,406343.0,422715.0,334643.0,384650.0,225074.0,384650.0,422826.25,334643.0
48,192466.25,486304.0,288213.5,406350.5,422718.0,334756.33333333331,384740.25,225090.25,384740.25,422830.5,334756.33333333331
49,192474.25,486426.66666666669,288265.25,406376.5,422721.0,334769.33333333331,384766.0,225099.75,384766.0,422833.5,334769.33333333331
50,192488.25,486661.0,288315.25,406436.25,422731.0,334787.0,387609.25,225114.75,387609.25,422843.75,334787.0
51,192510.5,486718.0,288330.0,406445.25,422733.5,334799.0,387647.75,225136.0,387647.75,422846.75,334799.0
