,asprin-1.2.0-decision-100-rnd-n1,asprin-1.2.0-decision-100-dissimilarityPositive-n1,asprin-1.2.0-decision-100-n1,asprin-1.2.0-decision-100-dissimilarityAll-n1,asprin-1.2.0-decision-100-vguide_pguide-n1,asprin-1.2.0-decision-100-dissimilarityAllE-n1,asprin-1.2.0-decision-100-dynamic-n1,asprin-1.2.0-decision-100-nosave-n1,asprin-1.2.0-decision-100-pguide-n1,asprin-1.2.0-decision-100-vguide_pguide_rdm-n1,asprin-1.2.0-decision-100-dissimilarityPositiveE-n1
2,0.0,28486.75,0.0,231517.5,125044.0,35601.5,90999.75,0.0,90999.75,251295.25,35601.5
3,0.0,47093.5,0.0,289074.25,154628.33333333334,129548.25,92105.0,0.0,92105.0,304242.75,129548.25
4,0.0,56393.75,0.0,300201.75,173938.0,134454.25,97391.25,0.0,97391.25,341469.75,134454.25
5,0.0,65937.0,0.0,307843.0,184289.33333333334,139116.0,138232.75,0.0,138232.75,361226.25,139116.0
6,0.0,72448.5,0.0,310803.5,193694.66666666666,141855.5,140323.0,0.0,140323.0,381625.75,141855.5
7,0.0,76807.25,0.0,312692.5,201517.33333333334,145311.75,143649.25,0.0,143649.25,399339.0,145311.75
8,0.0,80027.25,0.0,314130.5,208794.0,147239.5,148215.75,0.0,148215.75,414082.0,147239.5
9,0.0,84020.25,0.0,317369.5,214779.33333333334,149313.25,148753.25,0.0,148753.25,426043.75,149313.25
10,0.0,86359.0,0.0,319367.25,220614.33333333334,150787.75,150690.5,0.0,150690.5,438465.75,150787.75
11,0.0,89456.75,0.0,321353.0,224934.33333333334,152060.5,150767.75,0.0,150767.75,452459.75,152060.5
12,0.0,91766.5,0.0,323330.5,229456.33333333334,153063.5,151521.5,0.0,151521.5,460243.5,153063.5
13,0.0,94349.0,0.0,325752.75,234264.66666666666,154012.5,151604.75,0.0,151604.75,469204.5,154012.5
14,0.0,96253.0,0.0,328565.75,239498.33333333334,154911.5,152419.25,0.0,152419.25,481072.75,154911.5
15,0.0,97742.25,0.0,331103.25,243807.66666666666,155864.0,152524.25,0.0,152524.25,489895.5,155864.0
16,0.0,100230.0,0.0,332031.0,247622.0,156767.25,152781.75,0.0,152781.75,496662.0,156767.25
17,0.0,101236.25,0.0,333195.5,250546.0,161450.75,158155.0,0.0,158155.0,504348.25,161450.75
